title,company-name,location,type,salary_package,company_requirements
Tele Caller Executive,The Splendid,"Dum Dum, Kolkata, West Bengal",Full-time ,,"Accurately record and update client information in the CRM system.
Previous experience in telecalling, sales, or customer service (experience in influencer…"
Freelance Content Writer,Dadasaheb Phalke International Film Festival,Remote,Monday to Friday,,"Excellent verbal and written skills along with an aptitude for research in trending topics and communication patterns.
Total work: 1 year (Preferred)."
Telesales,TilliT Solutions,"Remote in Bengaluru, Karnataka",Part-time,,Higher Secondary(12th Pass) (Preferred).
Data Science Trainee,Wisdom college for creativity & design,"Ghaziabad, Uttar Pradesh",,,"Use statistical methods to analyze data and generate useful business reports.
The Data Analyst Trainee will be responsible for learning and applying data…"
SE-TT-Hyderabad,Mondelēz International,Remote,Full-time,,"Ensure a maximum visual impact and an optimum shelf availability through merchandising techniques.
Education / Certifications: Full time graduation is must."
Assistant Electrician,SGRS Academic Pvt. Ltd,"Ranchi, Jharkhand",,"₹18,000 - ₹23,000","Practical experience as an electrician or in a related role.
Tech in Electrical Engineering, and experience working in a government skill development project.*."
Graphic Designer,"Saveetha Medical College & hospitals, SIMATS...","Chennai, Tamil Nadu",Full-time,,"3-5 years of experience in graphic design.
Create and design various materials for print and digital collateral.
Perform retouching and manipulation of images."
Summer Internship Project,AITech Academy,Remote,,"₹21,000 - ₹25,000","An Intern, or Trainee, is an individual completing entry-level work for a company to gain experience in their field.
Expected hours: 6 per week."
tellecaller,Kumar Associates,"Raipur, Chhattisgarh",Full-time,,"Maintain database of candidate records and providing guidance, training to staff for recuriting process and helping youngster to Financial independent."
MIS Executive,MNL Gluck,"Jaipur District, Rajasthan",,,"❖ Hire a Management information System Executive (MIS) who is good with Advance EXCEL.
❖ He should have good knowledge of different Excel Formulas."
Support Executive,iCarry Technologies Pvt. Ltd.,"Remote in Bengaluru, Karnataka",,,"Co-ordinate with Courier Partners to resolve our client complaints.
Prior Experience - Minimum 6 months experience in a BPO, support / sales / operations role…"
Quality Controller,Xanika Infotech,"Virudunagar, Tamil Nadu",,"₹14,000 - ₹20,000","Must be working in Residential and Commercial building constructions,.
Must be in as a Quality Controller and Having a Quality Checker."
Executive,Larsen & Toubro,"Powai, Mumbai, Maharashtra",Full-time ,,"This includes designing interactive and visually compelling dashboards, performing in-depth data analyses, and creating reports that translate complex datasets…"
Junior Graphic Designer,Devolv Studio,Remote,,"₹15,000 - ₹24,000",The Junior graphic designer will be working alongside the senior graphic designer and will be responsible for gathering information and materials and creating…
Data Entry,Ciel HR,"Hosur, Tamil Nadu",Full-time ,,"Job Types: Full-time, Fresher."
Data Coordinator,"Medpace, Inc.","Hybrid work in Navi Mumbai, Maharashtra",,,"Our clinical activities are growing rapidly, and we are currently seeking a full-time, office-based Data Coordinator to join our Data Management team in India,…"
Computer Operator,"Suyash Hospital, Raipur","Gudhiyari, Raipur, Chhattisgarh",,"₹5,000","Coordinate with concern authority.
1.Speed in English typing & good medical transcription.
Job Types: Full-time, Permanent.
Total work: 1 year (Preferred)."
Urgent Hiring for Customer Service Representative,Silver Staar Recruiters,"Gurugram, Haryana",Full-time ,,"Job Types: Full-time, Permanent, Fresher.
Gurgaon, Haryana: Reliably commute or planning to relocate before starting work (Preferred)."
Social Media Marketing Intern,WE LOVE DIGITAL MARKETING PVT. LTD.,Remote,,,"Doing rigorous competitor research and case studies.
Strategizing content and other activities for the maximum organic social media reach."
Telemarketing Executive,Ask Worx,Remote,,"₹3,80,000 - ₹4,00,000","Provide service demo, commercial offer through email and follow-ups,.
Responsible to convert customer and post sales services."
Regional Admission Associate Executive,Shikshadarpana,"Adajan, Surat, Gujarat",Full-time,,"Convert student (enquiry / leads) into admission.
Counsel students and apprise them of program features, pedagogy, curriculum."
Site Supervisor,Pitambra real infra pvt ltd.,"Delhi, Delhi",,,"Job Types: Full-time, Fresher, Internship."
Life Science -Fresher,Deepam Hospitals,"Tambaram, Chennai, Tamil Nadu",,"₹15,000 - ₹25,000",We are looking for Freshers for Clinical Research.
Data Entry Operator/Computer Operator,Newclear technologies,"Aluva, Kerala",Full-time ,,"Job Types: Full-time, Permanent."
Product Support ( Fresher ),Infiniti Software Solutions,"Royapettah, Chennai, Tamil Nadu",,,"Participate in motion time studies and actively pursue methods of work simplification for efficiency.
Collaborate closely with other support and product team…"
MIS Executive,Likraft Industries,"Sonipat, Haryana",,"₹8,086 - ₹34,913","* Collaborate with departments to understand data requirements and provide solutions.
* Proficient with Advanced Excel, Making Report, Dashboard Creation etc."
Freelance Content Writer,Butterfly Brands Solution Pvt.ltd,"Andheri East, Mumbai, Maharashtra",Contractual / Temporary ,,"Total work: 3 years (Preferred).
Due to this being a freelance job the salary is not fixed and depends on the project worked on."
Customer Service Executive,Invensis Technologies,"Remote in Bengaluru, Karnataka",,,"Day shift for females and rotational shift for males.
Make no payment to any individual or agency for securing employment with us."
Freelance Content Writer,Butterfly Brands Solution Pvt.ltd,"Andheri East, Mumbai, Maharashtra",,"₹8,086 - ₹34,913","Total work: 3 years (Preferred).
Due to this being a freelance job the salary is not fixed and depends on the project worked on."
Gold Loan Officer,Andromeda Sales & Distribution Pvt Ltd,"Royapettah, Chennai, Tamil Nadu",Contractual / Temporary ,,"Job Types: Full-time, Permanent."
Admin Executive (Office Administration) ( Female Preference),Halwasiya Developments Pvt. Ltd.,"South Delhi, Delhi, Delhi",,,"3-4 years prior experience in an administrative role.
Handling HR activities including initial screening, interview setup and collate candidate evaluation data…"
IT Admin Assistant,WHITEFIRE DIAMONDS INDIA PVTLTD,"T Nagar, Chennai, Tamil Nadu",,"₹20,000 - ₹90,000","Build an internal wiki with technical documentation, manuals, and IT policies.
Proven experience as an IT Assistant or similar role."
RMS FinCrime Associate,EY,"Bengaluru, Karnataka",Full-time ,,"As our efforts towards building a better working world, GDS operations need to create an evolving framework of FinCrime Operational excellence framework control…"
DEO cum Hindi Translator,Inductus Limited,"Nauroji Nagar, Delhi, Delhi",,,"Iii) 1 Yr Experience of Translation work from Hindi to English and vice versa.
Translation:1 Yr Experience of Translation work from Hindi to English and vice…"
Data Entry Officer,Mirago Managed Services Pvt Limited,"Vadodara, Gujarat",,"Up to ₹25,000","We are seeking an Information Research & Entry Personnel to assist in data.
Summarize and present data in an understandable and visually appealing."
Data Entry(Night Shift),Kohinoor Techno Business Solutions,"Lower Parel, Mumbai, Maharashtra",Full-time ,,"Staying up-to-date with industry trends and best practices in data analysis and research methodologies.
Continuously monitoring data quality and proposing…"
Girls Hotel Supervisor,Reva University,"Bengaluru, Karnataka",,,"With the assistance of the Mess Committee, S/He will supervise the functioning of the mess and the working of the Mess Managers/Supervisors, Cooks and Helpers…"
Semi Voice Process,Carveout Tech,"Domlur, Bengaluru, Karnataka",,"₹20,000 - ₹22,500","5 days working and 2 days week off.
Customer service: 1 year (Required).
Qualification: Graduate preferred, undergrad with relevant experience and skills."
Data Entry Operator,Nandani Creation Limited (Jaipur Kurti),"Bais Godam, Jaipur, Rajasthan",,,"Knowledge of MS Office (Word, Excel, PowerPoint).
Understanding of filesystems and file types.
Knowledge of internet and safe browsing practice."
Support Executive,EDEX TECH IT SOLUTIONS,"Kalavasal, Madurai, Tamil Nadu",,"Up to ₹25,000","Keeping up-to-date with product knowledge and industry trends.
Ensuring customer satisfaction and maintaining a high level of customer service."
Customer Service Associate,Datamark,"Thane, Maharashtra",Full-time ,,"Answer incoming calls in a timely and professional manner, responds to routine questions and takes complaints from the general public; inputs and/or logs…"
CSE (Customer Support Executive),Girnarcare pvt. Ltd,"Jaipur, Rajasthan",,,"Address: CarDekho Office, Ground Floor, JTM Mall, Jagatpura, Jaipur (Raj.).
Job Types: Full-time, Permanent, Fresher.
Higher Secondary(12th Pass) (Required)."
Support Data Entry-F&A,Aditya Birla Group,Gujarat,,"₹25,000 - ₹35,000","Import bill checking and booking for Customs and GST related compliances.
(Including shipping document, supporting bill of entry, Etc."
Store Keeper,Brring 2.0 Perishable Distribution Solutions Pvt....,"Sakinaka, Mumbai, Maharashtra",Full-time ,,"Organize and store goods in an orderly manner to optimize space and accessibility.
Pay: ₹25,000.00 - ₹35,000.00 per month.
Job Types: Full-time, Permanent."
BCOM Professor,City College,"Jayanagar, Bengaluru, Karnataka",,,"Com curriculum to align with academic standards and industry requirements as per NAAC guidelines.
Pay: From ₹30,000.00 per month."
Tele Caller Executive,Canoli institute of Advanced technology,Remote,,"From ₹30,000","Excellent verbal communication skills to effectively convey information and address customer needs.
Updating customer information and call logs."
Customer Care Executive,Drimlite,"Gurugram, Haryana",Full-time,,"As part of this role, you will be responsible for providing exceptional customer service to our clients in the fintech sector.
Job Types: Full-time, Fresher."
Data Entry Operator,C P Systems Pvt Ltd,"Badarinath, Uttarakhand",,,"Pay: ₹11,139.85 - ₹15,000.00 per month.
Typing speed must be good and accurate.
Ability to research and collect data.
Job Types: Full-time, Permanent."
Digital Marketing,The Hub Ops,Remote,,"₹11,139.85 - ₹15,000.00","As an SEO Executive, you will play a crucial role in optimizing our clients' websites to achieve higher search engine rankings, increased organic traffic, and…"
Researcher - Content Writer,Muller & Muller UG,"Remote in Bangalore City, Bengaluru, Karnataka",Full-time ,,"Pay: From ₹24,000.00 per month.
The candidate must have experience working remotely and writing quality documents using analytical and academic writing skills."
Data Entry Operators,Thomas Baker (Chemicals),"Marine Drive, Mumbai, Maharashtra",,,"If you wish to join our organization, kindly send us your resume to hr@thomasbaker.com.
FRESHERS + 1-2 YEARS EXPERIENCE IN SIMILAR FIELDS."
IT Recruiter (US Staffing),Ananth Info Tech,Remote,,"₹5,000 - ₹12,000","Pay: ₹10,150.00 - ₹15,200.00 per month.
Handling End-to-end IT Recruitment.
Job Posting in Job Portals.
Skill Sets: Good Oral & Written Communication skills."
Quality Control Executive,Pyrax Polymars,"Haridwar, Uttarakhand",Full-time ,,"Monitoring & maintaining good housekeeping conditions in Q. C lab .
Pay: ₹15,000.00 - ₹25,000.00 per month.
Preparing analysis reports for the tested samples,…"
Freelancer Recruiter,Career Path HR Solution,"Mumbai District, Maharashtra",,,"Candidate should have experience working with Medical Industry and Real Estate Industry.
Are you comfortable with Profit Sharing Basis (Commission Based Job)."
Customer Care Executive,Elevation HR LLP,"Jhandewalan, Delhi, Delhi",,"From ₹24,000","Customer Service: Proven track record in providing exceptional customer service, resolving issues efficiently, and ensuring customer satisfaction."
Store Assistant,Ananya Manpower Solution Pvt.Ltd,"Mapuca, Goa",Part-time,,"Looking After Inward, Outward, Kit Issue, Stock Verification and other activities of stores.
Around 1 - 2 years [ Freshers will also do]."
Virtual Assistant – Customer Service Operations,PlacidWay,Remote,,"₹15,000 - ₹25,000","How do you ensure that Standard Operating Procedures (SOPs) you create are clear, comprehensive, and easy to follow?
Please note:* This is a remote position."
Freelance Blogger,biographykind.com,Remote,,"₹20,000 - ₹35,000",*Responsibilities* - Write and publish high-quality blog posts that resonate with our target audience - Conduct thorough research on industry-related topics -…
DOCUMENTATION EXECUTIVE,All-Ways Logistics India Pvt Ltd,"Delhi District, Delhi",Full-time,,"LOCATION- SARITA VIHAR ( DELHI HEAD OFFICE)*.
Ø Cargo Booking With The Airline."
Production Executive (M Pharma),Blessings Healthcare Private Limited,"Solan, Himachal Pradesh",,"₹15,000 - ₹25,000","Packing of finished product and labelling of intermediate, finished products, and its storage as per SOP.
Performing and online updating of equipment cleaning,…"
VIP Customer Service Associate,IntouchCX,"Bengaluru, Karnataka",Full-time ,,"Provide great service without escalations and create an overall excellent customer experience for VIP players.
1- 4 years of customer service experience."
Tele Caller Executive,V A FINANCIAL SERVICES,"Faridabad NIT H.O, Faridabad, Haryana",,,"In addition to this, You should collect desired information from the clients and maintain healthy relations with them.
Job Types: Full-time, Fresher."
Systems Administrator,Caidya,Remote in India,,"₹25,000 - ₹40,000","At least 2-3 years of experience managing business administration related SaaS IT systems (e.g., HR- Taleo, ADP, Quantum and/or CRM Workbooks)."
DATA ENTRY,Swift Prosys Pvt Ltd,"Kanchipuram, Tamil Nadu",Permanent,,"Shift Timing :* General Shift (9am to 6pm).
Work Type:* Work from office.
Typing Knowledge - Minimum 25 Words Per Minute.
Proficient in MS office tools."
Office Administrator,BIS GROUP,"Kavundampalayam, Coimbatore, Tamil Nadu",,,"JOB ROLE : DOCUMENTATION , EXCEL WORK E FFICIENT , MAIL COMMUNICATION, ATTENTANCE HANDLING , REPORTS MAINTAINING , GOOD COMMUNICATION SKILLS, FRONT OFFICE WORK,…"
Reservation Executive,HOYSALA VILLAGE RESORT,"Sadashivanagar, Bengaluru, Karnataka",,"₹22,000 - ₹25,000","Guest Relations: Provide excellent customer service, handle special requests, and coordinate with other departments.
Knowledge of WINHMS will be preferred."
Tutoring-Biology,eTutorWorld,Remote,Full-time ,,"We are looking for teachers/tutors with teaching experience in Biology.
Graduate or post graduate who can teach Biology."
Store Keeper,Effotel by sayaji Dehradun,"Dehradun, Uttarakhand",,,"Looking Asst store keeper for sayaji hotel dehradun. who have there own bike or activa.
Job Types: Full-time, Permanent, Fresher."
NRI Customer Support,Elite Business Solutions,"Gurugram, Haryana",Full-time ,,"Understand customer needs and close sales.
Assist customers over the phone with sales of financial products.
No hardcore sales, just a sales pitch."
Product Executive,Fiftysixshots Beverages PVT LTD,"Bengaluru, Karnataka",,,"Ensure compliance with industry regulations and standards.
Collaborate with cross-functional teams including design, engineering, and."
Site Supervisor,MKS Electrical & Interiors Pvt. Ltd,"Gorakhpur, Uttar Pradesh",,"₹11,000 - ₹20,000","Ensures customer needs are met and high quality service is delivered through a variety of means, including staff meeting or exceeding service levels and through…"
Back Office Executive,Array management,"Kota, Rajasthan",Full-time,,"Perform administrative duties such as data entry, filing, and maintaining records.
Coordinate with internal departments to ensure smooth operations."
Site Supervisor,MKS Electrical & Interiors Pvt. Ltd,"Gorakhpur, Uttar Pradesh",,"₹25,000 - ₹30,000","Ensures customer needs are met and high quality service is delivered through a variety of means, including staff meeting or exceeding service levels and through…"
Data Entry Officer,Purec Hygiene International LLP,"Vasai, Maharashtra",Full-time,,"Maintaining databases, archives, and filing systems up to date.
Assembling, arranging, and getting ready papers, materials, and data for data input."
CALL CENTER EXECUTIVE,Votiko 24 *7,"Lal Chowk, Srinagar, Jammu and Kashmir",,,"At least 3 years of experience in an international call center setting.
Deliver exceptional customer support via calls, emails, and live chat."
Overseas Education Counselor,Connect Digitech,Remote,,"₹3,72,810.25 - ₹14,37,272.57","Knowledge of higher education systems and academic regulations, particularly for USA/Canada.
Stay informed about the admission requirements, application…"
Support Assistant,Ovatix IT Solution,"Pimpri-Chinchwad, Maharashtra",Full-time,,"Greeting and directing visitors, answering questions, and responding to complaints and requests.
Making arrangements for meetings and travel."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",Monday to Friday ,,"WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
Executive Assistant,RAF-CS India Private Limited,"Delhi, Delhi",,"₹12,000 - ₹18,000","As an executive assistant, you will be responsible for managing complex calendars, scheduling meetings and appointments, coordinating travel arrangements, and…"
Co-ordinator,Ambica Rice mill,"Karnal, Haryana",Full-time,,"Coordinate the work and activities between different departments.
Effective communication of project goals, timelines, and expectations."
Christmas Casual - Just Jeans NZ - Northlands Mall,The Just Group,"Mall, Lucknow, Uttar Pradesh",,,"Rewards / incentives for super sales.
Comprehensive training and development plans."
Ecommerce Operations Associate,Wellversed,"Gurugram, Haryana",,"₹2,40,000 - ₹7,00,000","Monitor and evaluate implemented solutions to measure their impact and identify areas for further improvement.
Build strong relationships with key stakeholders."
Data Entry Operator,TwarIT Mobility Solutions Pvt Limited,"Bengaluru, Karnataka",Full-time ,,"Identify and address data discrepancies.
The ideal candidate will have excellent typing skills, attention to detail, and the ability to work efficiently under…"
Freelance Recruiter,Tech Hiring Solutions,Remote,,"₹25,000 - ₹37,500","Assist in coordinating interviews and providing feedback to candidates.
Maintain accurate candidate records in our applicant tracking system."
Inside Sales Associate,Infospire IT Solutions Private Limited,"Bengaluru, Karnataka",Full-time ,,"Conduct live demos and convert those opportunities into sales closures.
Shift Timings* - Night shift(Based on US time zones).
Job Types: Full-time, Permanent."
Store Assistant,AFB PRAYAGRAJ,"Allahabad, Uttar Pradesh",,,"Maintain accurate stock records and reports 3.
Attention to detail and organization 3.
You'll ensure accurate stock levels, maintain a tidy warehouse, and…"
Inside Sales Associate,Infospire IT Solutions Private Limited,"Bengaluru, Karnataka",,"₹25,000 - ₹37,500","Conduct live demos and convert those opportunities into sales closures.
Shift Timings* - Night shift(Based on US time zones).
Job Types: Full-time, Permanent."
Store Assistant,AFB PRAYAGRAJ,"Allahabad, Uttar Pradesh",Full-time ,,"Maintain accurate stock records and reports 3.
Attention to detail and organization 3.
You'll ensure accurate stock levels, maintain a tidy warehouse, and…"
Cyber Security Researcher Intern,Necurity Solutions Network Security Private...,"Electronic City, Bengaluru, Karnataka",,,"➢The candidate must have knowledge of software design and development, software and network architecture, protocols, and standards.
➢ Any Bachelor's degree."
Hospital Pharmacist,Umang Pharmacy BHU,"Varanasi, Uttar Pradesh",Internship ,,"Ensuring a safe and clean working environment.
Compounding and dispensing medications, as prescribed by physicians.
Job Types: Full-time, Permanent."
Opportunity For Accounts Internship !!,Epsum labs PVT LTD,"Chandrasekharpur, Bhubaneswar, Orissa",Monday to Friday,,"Duration of Internship -3 months (paid Internship ).
Educational- B.com Graduate with Tally Knowledge."
Supervisor,Tower & Transmission Company,"Bikaner, Rajasthan",,"₹10,000 - ₹15,000","Measuring and Cutting of structure as per drawing from client.
Supervising of Foundation, Erction, stringing of transmission line upto 765 KV."
Data Entry Operator,MG Tathya Solutions,"Kolkata, West Bengal",Full-time ,,"One must know using basic tools like Microsoft Excel and Internet browsing is must.
Must Have Typing Speed 20 WPM.
Should have problem solving skills."
Data Entry Operator,Lunar Astro Vedic Academy,"Dehradun, Uttarakhand",,,"The Data Entry Executive will play a critical role in ensuring the integrity and accuracy of our data records, which are vital for the smooth operation of our…"
Calling Executive with Sales background only,UNIVERSAL EV INDIA PVT LTD,Remote,Internship,,"Proficiency in Microsoft Office (Mainly in Excel and Word).
Must have a personal laptop with good internet speed connection- ready to work 8 pm to 12 midnight…"
Data Entry Operator,AYAAN ENTERPRISES,"Jammu, Jammu and Kashmir",Monday to Friday ,,"Data preparation: Sorting documents and preparing data according to the source.
Data entry: Entering data into a computer system or database using equipment…"
Assitant Supervisor,HIMANSHU ENTERPRISE,"Gurugram, Haryana",,"₹15,000 - ₹30,000","You have to sharing business franchise and team management , recruitment and hiring.
Identifying, qualifying and securing business opportunities. coordinating…"
Pharmacovigilance,Rexo Solutions,Remote,Full-time,,"Only experienced candidates not for freshers.
Nice to have if you have experience in Pharmacovigilance, CDM and Clinical SAS.
Work mode: Work From Home."
Telesales Executive,GARDEN OF EDEN PROPERTY DEVELOPERS PRIVATE LIMITED,"Neredmet, Hyderabad, Telangana",,,"Experience: 1 Yr of Experience in any inbound or outbound process.
Job Types: Full-time, Permanent.
Tele Calling: 1 year (Preferred)."
Astrology Content Writing: Prefers Astrologers Proficient English Writing (Part Time),Ennexa Technologies,Remote,,"₹8,000 - ₹12,000","The ideal candidate should possess a deep understanding of Vedic astrology principles and practices, along with strong English writing skills."
Telecaller,Classify skill,Remote,Full-time,,"As a Caller, you will be responsible for contacting potential customers to promote our course or services and secure sales appointments."
Virtual Assistant Intern,ISUREMEDIA PVT. LTD.,"Remote in Haldwani, Uttarakhand",Permanent,,"Provide excellent English language support to clients and team members, demonstrating clear and professional communication skills."
Investment Advisor,Barclays,"Mumbai, Maharashtra",,"₹10,000 - ₹40,000","Collaborate with other areas of work, for business aligned support areas to keep up to speed with business activity and the business strategy."
Research Manuscript Writers,ideal Word Script,Remote,Contractual / Temporary ,,"Qualification: PhD, but preference will be given to those with experience in research manuscript writing.
Total work: 2 years (Preferred)."
Subject Matter Expert,ALLEN Career Institute,Remote,,,"Fluency in English and possess excellent Communication Skills.
Development of experiential and experimental learning material and resources."
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",,"₹50,000 - ₹65,000","Provides high-level administrative support to an assigned executive or director-level employee.
Prolonged periods sitting at a desk and working on a computer."
Tele Caller Executive,STK FOREX AND LEISURE PRIVATE LIMITED (Buzz...,"Anantapur, Andhra Pradesh",Full-time,,"Experience- 6 months to 1 year.
Customer service: 1 year (Required).
Job Types: Full-time, Permanent."
Office Assistant,Kilowott,"Goa, Goa",Monday to Friday,,"The Office Assistant is a key support role within our organization, responsible for providing comprehensive administrative assistance to ensure the smooth and…"
CSE (Customer Support Executive),Office Beacon Administrative Services Pvt. Ltd,"Vadodara, Gujarat",,"₹10,000 - ₹18,000","Willing to work in night shift.
Good composition skills (should be able to write grammatically correct emails/responses)."
Video Editor Work From Home,LTC Holiday,"Remote in Delhi, Delhi",Full-time ,,"Developing concepts, graphics and layouts for product illustration.
Create engaging videos by editing footage, adding special effects, transitions, and…"
Back Office,FLONEX Oil Technologies Private Limited,"Transport Nagar, Agra, Uttar Pradesh",,,"Efficiency. As a business analyst, you'll identify new business opportunities in order to generate revenue, improve profitability and help the business grow."
Customer Support Executive,iTrend Solution,"Remote in Chennai, Tamil Nadu",,"From ₹16,000","Experience in handling customer inquiries through both voice and non-voice channels.
We are seeking a candidate with 3-4 years of relevant experience who…"
Data Entry Executive,Kidss Talk,"Madurai, Tamil Nadu",Full-time ,,"Track stock level to ensure no shortage during Diwali.
Communicate with godown and store team effectively.
Microsoft Excel: 3 years (Required)."
Office Assistant,Sathi Planners Pvt. Ltd.,"Ranchi, Jharkhand",Monday to Friday ,,"Manage incoming and outgoing mail, and other communication.
Proficient in using Microsoft Office suite (Word, Excel, PowerPoint, Outlook) and other relevant…"
Academic Content Writer,DRAA (OPC) Private Limited,Remote,,"₹25,500 - ₹34,000",Possess thorough knowledge of the education field and write the research materials according to client needs.
tellecaller,Nikky Enterprise,"Jaipur, Rajasthan",Full-time,,"Contacting current and potential clients to inform them regarding the service.
Keeping the customer database maintained and updated."
tellecaller,Nikky Enterprise,"Jaipur, Rajasthan",,"₹12,000 - ₹15,000","Contacting current and potential clients to inform them regarding the service.
Keeping the customer database maintained and updated."
Office Assistant,Sathi Planners Pvt. Ltd.,"Ranchi, Jharkhand",Full-time,,"Manage incoming and outgoing mail, and other communication.
Proficient in using Microsoft Office suite (Word, Excel, PowerPoint, Outlook) and other relevant…"
Tele Caller Executive-WFH,SaiVed Perficient Pvt Ltd,"Pollachi, Tamil Nadu",,"₹15,000 - ₹20,000","Potential new markets, and competitive activities relevant to the import/export industry.
The ability to listen actively and understand customer or client needs…"
Global Travel Xperts is Hiring,Global Travel Xperts,"Salt Lake, Kolkata, West Bengal",Full-time,,"Well versed in various areas of travel (domestic/international, business/holidays, group/individual etc).
Pay: ₹19,000.00 - ₹25,000.00 per month & UNLIMITED…"
Production Supervisor,JASWANT RASAYAN PRIVATE LIMITED,"Hisar, Haryana",,,"JRPL has continuously been meeting the expectations of every client by offering outstanding customer service, increased flexibility and value for money, thus…"
Customer Relation Executive,Scaler Academy,"Bengaluru, Karnataka",,"₹19,000 - ₹23,000","Iterative problem-solving: which translates to structuring problems and iterating on creative/implementable solutions.
Customer service: 1 year (Required)."
Fresher with excel and bike,Sarvome Developers,"Mathura Road Faridabad, Faridabad, Haryana",Full-time ,,"Ensure that office equipment and facilities are functioning smoothly by coordinating with external service providers.
Personal bike and valid driving license."
Admissions Assistant Associates,Shikshadarpana,"Davangere, Karnataka",,,"_Provide information and guidance to prospective students and families regarding the admissions process, including admission requirements, deadlines, and…"
Customer Service Representative,Gamemano Pvt .LTD,"Gautam Budh Nagar, Uttar Pradesh",,"₹15,000 - ₹25,000","The ideal candidate will be responsible for providing exceptional customer service to our clients by assisting them with their inquiries, resolving their issues…"
Customer Care Executive,EatEasily Online Pvt. Ltd,"Bengaluru, Karnataka",Full-time,,"In this role, you will be responsible for providing exceptional customer support to our clients through various communication channels such as phone, email, and…"
Store Keeper(Resort),Kondody Hotels and Resorts,"Munnar, Kerala",,,The ideal candidate will have a passion for the hospitality industry and a proven track records of managing hospitality operations efficiently.*.
Data Entry Operator,Mafiree,"Nagercoil, Tamil Nadu",,"₹4,00,000 - ₹5,00,000",We are looking for a Data Entry Operator with good communication skills to manage stock information and update product specifications and descriptions on our…
GODOWN INCHARGE,YATHARTH PLACEMENT SERVICES,"Tilda, Raipur, Chhattisgarh",Full-time ,,"Working hours : 10.00 am to 7.00 pm for Full- time.
Tasks : Maintenance of stocks, Arranging the stocks in order, Reporting stock details of stocks which go out…"
Site Supervisor(fresher),Job Destiny,"Delhi, Delhi",Monday to Friday ,,"6.salary will be increased after 3 months of probation or completion of their training.
Should be 12 th pass .
2.have intrest in civil site supervising work."
Telesales Executive,Fab Mediatech Pvt Ltd,Remote,,"₹25,000 - ₹35,000","Answer customer queries and address their concerns effectively.
Flexible working hours with the convenience of working from home.
Fixed Salary: ₹1500 per month."
Legal - Intern,Dun & Bradstreet,"Mumbai, Maharashtra",Full-time,,"Official communication from Dun & Bradstreet will come from an email address ending in @dnb.com.
Each day, we are finding new ways to strengthen our award…"
Requirement for B. Com Graduate,Navneet Education Limited,"Silvassa, Dadra and Nagar Haveli",,,"If you're interested in launching your career with us, please submit your resume to mohini.malhotra@navneet.com.
Pay: ₹20,000.00 per month."
MIS Executive,CAASA,"Ultadanga Main Road, Kolkata, West Bengal",,"₹20,000 - ₹30,000","We are seeking an experienced and detail-oriented MIS Executive to join our team in Ultadanga.
Candidates residing near Ultadanga or willing to relocate will be…"
Chat Support Executive,Wrixty Services pvt Limited,"Noida, Uttar Pradesh",Full-time ,,"Candidates should be okay with rotational shift/night shift.
Typing Test–35 Pm with 90% accuracy.
Age -18 years - 40 years."
Production Supervisor,Morya Engineering Pvt Ltd,"Chakan, Pune, Maharashtra",,,"Experience - 0.6 to 3 year.
Pay: ₹20,000.00 - ₹30,000.00 per month.
Knowledge of Shift & Manpower handling.
Knowledge of Production & Planning process."
Medical Writer,Crazy Fox Creations,"Remote in Lucknow, Uttar Pradesh",,"₹15,000 - ₹17,000","As a medical writer, you will be required to write factually-correct articles describing various diseases and medical conditions in detail."
Data Research Executive,EnCircle Exports India Pvt. Ltd,"Alkapuri, Vadodara, Gujarat",Full-time ,,"Join Us: *If you're passionate about e-commerce and want to be part of a dynamic team, apply now to join us in our mission to excel in online retailing."
Business Developement Executive,Jobs-In360 Pvt Ltd,"Gulbarga, Karnataka",,"₹20,000 - ₹25,000","Pay: ₹20,000.00 - ₹25,000.00 per month.
Role -Business Development Executive (Field Sales).
Job Types: Full-time, Permanent, Fresher."
Field Executive,Vak Reports,"Remote in Ahmedabad, Gujarat",Full-time ,,"In this work you visit the provided coustomer location and verify their business, verify their documents, verify their information take photos and videos all…"
Tellecaller,Dronelab Technologies Pvt Ltd,"Ashram Road P.O, Ahmedabad, Gujarat",,,"Follow up with clients to ensure satisfaction and address any concerns or issues.
Maintain accurate records of calls, sales, and client information in the CRM…"
OFFICER,Kokuyo Camlin,"Patalganga, Navi Mumbai, Maharashtra",,"₹19,000 - ₹22,000","Monthly safety meeting points of the dept. to be closed jointly with HOD.
The purpose of the job is to lead the maintenance, new-installation activities in the…"
Customer Care Executive,Datacultr,"Gurugram, Haryana",Full-time ,,As a Product Support Executive you will maximize sustainable value for our customers and Datacultr through long-term customer success strategies.
Customer Service Assistant,IO DataLabs,"Remote in Chandigarh, Chandigarh",,,"Shift Timing: 6:30 pm - 2:30 am IST*.
Must be able to handle call (Inbound / Outbound) both.
Pay: ₹10,000.00 - ₹15,000.00 per month."
Customer Service Representative - Financial Services - Voice,TTEC,"Mumbai, Maharashtra",,"₹15,000 - ₹20,000",And we know that you bring with you the one necessary ingredient that can’t be taught – a caring and supportive nature that will shine through as you help…
